":START_ID(Person-ID)",":TYPE",":END_ID(Movie-ID)"
"1032478","Directed","1299731"
"1049935","Directed","1292702"
"search","Directed","1947265"
"1288511","Directed","1308819"
"1319562","Directed","10746041"
"1355472","Directed","10746041"
"1019243","Directed","1401329"
"1319469","Directed","1296246"
"search","Directed","19955871"
"1054526","Directed","1294438"
"1000515","Directed","25787475"
"1032765","Directed","1432778"
"search","Directed","2286311"
"search","Directed","2286311"
"1069708","Directed","1305747"
"1004517","Directed","1305747"
"search","Directed","1863433"
"1037037","Directed","1305214"
"1280664","Directed","1298040"
"1007152","Directed","1298040"
"1055906","Directed","1300754"
"1034354","Directed","1417945"
"1004772","Directed","1292403"
"1279711","Directed","1300583"
"1356539","Directed","1300583"
"1028073","Directed","1308836"
"1160301","Directed","1296824"
"1275139","Directed","4004731"
"1032020","Directed","1296444"
"1282578","Directed","1308932"
"1277254","Directed","1756584"
"1305449","Directed","1756584"
"1054430","Directed","25881888"
"1010043","Directed","3796608"
"1319550","Directed","26656866"
"1049470","Directed","26299473"
"1049771","Directed","1293590"
"1351971","Directed","26253733"
"1013792","Directed","1293137"
"1027257","Directed","6531219"
"1041182","Directed","1293760"
"1336166","Directed","7015732"
"1282836","Directed","7015732"
"1018454","Directed","24879206"
"1051033","Directed","19897413"
"1031241","Directed","25835479"
"1048716","Directed","3155405"
"1274812","Directed","1877942"
"search","Directed","3249563"
"1032246","Directed","1294070"
"1050154","Directed","6999835"
"1022811","Directed","1448595"
"1007113","Directed","1448595"
"1010252","Directed","1304626"
"1317101","Directed","26279918"
"1007152","Directed","1298873"
"1047882","Directed","2135922"
"search","Directed","1293040"
"1007111","Directed","1295727"
"1049601","Directed","1293290"
"1047980","Directed","1757728"
"1009626","Directed","19976777"
"1294026","Directed","19976777"
"1027853","Directed","1766042"
"1047998","Directed","1766042"
"1031914","Directed","1766042"
"search","Directed","1766042"
"1315640","Directed","1766042"
"1028736","Directed","1766042"
"1015122","Directed","1766042"
"1049586","Directed","1292214"
"1000242","Directed","6533054"
"1033771","Directed","2301179"
"1304614","Directed","2301179"
"1036569","Directed","3231742"
"1350558","Directed","21361965"
"1002709","Directed","1309055"
"search","Directed","4072718"
"search","Directed","26176503"
"1049771","Directed","1477193"
"1012691","Directed","1471968"
"1002804","Directed","6048838"
"1019175","Directed","1296455"
"1053564","Directed","1306785"
"1014306","Directed","1941336"
"1041339","Directed","26280030"
"1054406","Directed","1416762"
"1024314","Directed","1316685"
"1054852","Directed","1293299"
"1274293","Directed","1302164"
"1329478","Directed","10748107"
"1054533","Directed","1292225"
"search","Directed","1295930"
"search","Directed","1297906"
"1010627","Directed","1298491"
"1036897","Directed","1296225"
"1328375","Directed","5327188"
"1048228","Directed","1459373"
"1014609","Directed","1448827"
"1017843","Directed","1307372"
"1289917","Directed","24304229"
"1071097","Directed","25802713"
"1050508","Directed","1303133"
"1009536","Directed","1307955"
"1040671","Directed","1419856"
"1056128","Directed","1304901"
"1023150","Directed","1394825"
"1019131","Directed","2181137"
"1018454","Directed","25804293"
"1274472","Directed","1394470"
"1106979","Directed","1300317"
"1022839","Directed","1422189"
"1342788","Directed","3095502"
"1274313","Directed","3811342"
"1009585","Directed","1962115"
"1337366","Directed","11541282"
"1032095","Directed","1302911"
"1011157","Directed","1785489"
"search","Directed","1964087"
"1364188","Directed","26772763"
"search","Directed","2344297"
"1036409","Directed","1468030"
"1050884","Directed","2131969"
"1274240","Directed","3013580"
"1054526","Directed","1300957"
"1049687","Directed","3321409"
"1054400","Directed","4301043"
"1041519","Directed","3239906"
"1002709","Directed","1303010"
"1041672","Directed","1771061"
"1050518","Directed","1958275"
"1005450","Directed","3931898"
"1016700","Directed","1294651"
"1332656","Directed","20386979"
