"id:ID(Movie-ID)","name","pubdate","rating",":LABEL"
"1299731","野狼 Hombre","[""1967-03-21""]","8.0","Movie"
"1292702","千钧一发 Nick of Time","[""1995-11-22""]","6.5","Movie"
"1947265","落叶 Dead Leaves","[""2004-01-17""]","8.6","Movie"
"1308819","BJ单身日记2：理性边缘 Bridget Jones: The Edge of Reason","[""2004-11-12(美国)""]","7.3","Movie"
"10746041","地狱归来 Hell and Back","[""2015-10-02(美国)""]","6.6","Movie"
"1401329","流浪者之歌 ツィゴイネルワイゼン","[""1980-04-01""]","7.7","Movie"
"1296246","天生爱情狂 Don Juan DeMarco","[""1994-10(ShowEast)"",""1995-04-07(美国)""]","8.1","Movie"
"19955871","车轮不息 Where The Trail Ends","[""""]","9.1","Movie"
"1294438","假面 Persona","[""1966-10-18""]","8.6","Movie"
"25787475","胡迪尼 Houdini","[""2014-09-02(美国)""]","8.2","Movie"
"1432778","暗杀 暗殺","[""1964-10-30(日本)""]","7.9","Movie"
"2286311","La Dialectique peut-elle casser des briques ?","[""""]","","Movie"
"1305747","公主与海盗 The Princess and the Pirate","[""1944-11-17""]","7.3","Movie"
"1863433","暗夜旅程 Journey to the End of the Night","[""2006-04-28""]","6.5","Movie"
"1305214","战俘列车 Von Ryan's Express","[""1965-06-23(美国)""]","8.2","Movie"
"1298040","倩女幽魂3：道道道 倩女幽魂Ⅲ 道道道","[""1991-07-18""]","7.3","Movie"
"1300754","人性污点 The Human Stain","[""2004-03-11""]","7.1","Movie"
"1417945","茄子：安达卢西亚之夏 茄子 アンダルシアの夏","[""2003-07-26(日本)""]","8.4","Movie"
"1292403","猎鹿人 The Deer Hunter","[""1978-12-08(美国)""]","8.4","Movie"
"1300583","我们四个 The Sum of Us","[""1994-07-28""]","7.8","Movie"
"1308836","青春舞会皇后 Confessions of a Teenage Drama Queen","[""2004-02-20(美国)""]","6.0","Movie"
"1296824","简爱 Jane Eyre","[""1943-12-24(英国)""]","7.8","Movie"
"4004731","海洋天堂","[""2010-06-18(中国大陆)""]","7.9","Movie"
"1296444","梵高与提奥 Vincent & Theo","[""1990-04-27""]","7.8","Movie"
"1308932","银色快手 Quicksilver","[""1986-02-14(美国)""]","7.6","Movie"
"1756584","光杆乐队 One Man Band","[""2005-08-06(澳大利亚)""]","8.6","Movie"
"25881888","无理之人 Irrational Man","[""2015-05-15(戛纳电影节)"",""2015-07-17(美国)""]","7.2","Movie"
"3796608","少女与死亡 Девушка и смерть","[""2012-11-15(荷兰)""]","6.7","Movie"
"26656866","天堂奇迹 Miracles From Heaven","[""2016-03-16(美国)""]","7.2","Movie"
"26299473","病毒入侵 Pandemic","[""2016-04-01(美国)""]","4.3","Movie"
"1293590","欲望号街车 A Streetcar Named Desire","[""1951-09(威尼斯电影节)"",""1951-09-18(加州首映)""]","8.3","Movie"
"26253733","突然变异 돌연변이","[""2015-09-15(多伦多电影节)"",""2015-10-22(韩国)""]","6.3","Movie"
"1293137","洛杉矶大逃亡 Escape from L.A.","[""1996-10-10""]","6.5","Movie"
"6531219","情动假日 Labor Day","[""2013-08-30(特柳赖德电影节)"",""2014-01-31(美国)""]","7.7","Movie"
"1293760","捉鬼敢死队 Ghostbusters","[""1984-06-08""]","6.7","Movie"
"7015732","玛瑞娜·阿布拉莫维奇：艺术家在场 Marina Abramović: The Artist Is Present","[""2012-01-20(圣丹斯电影节)"",""2012-02-11(柏林国际电影节)""]","8.7","Movie"
"24879206","老木逢春 Turks & Caicos","[""2014-03-20(英国)""]","6.6","Movie"
"19897413","电子云层下 Под электрическими облаками","[""2015-02(柏林国际电影节)"",""2015-06-04(俄罗斯)""]","6.9","Movie"
"25835479","一对一 일대일","[""2014-05-22(韩国)""]","5.9","Movie"
"3155405","陈查理在上海 Charlie Chan in Shanghai","[""1935-10-14""]","","Movie"
"1877942","置之死地而后生 The Death and Life of Bobby Z","[""2007-06-18""]","6.1","Movie"
"3249563","天荒地老不了情 Magnificent Obsession","[""1936-01-21""]","7.0","Movie"
